sample_id,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,Na-Na,Na-Na-max,Na-Na-avg,bottleneck_min,bottleneck_avg,poly_dist_max,poly_dist_std,poly_dist_avg,poly_dist_avg_fixed,face-area-max,face-area-avg,face-area-min,face-area-count,pockets-per-ion,pockets-per-volume,paths-per-ion,paths-per-volume,E_T
s19,2.349266697206678,12.378182947665053,0.586876090898531,22.780017357467607,2.171961497172124,2.640045662100457,0.1963470319634703,0.0,0.0,0.3059360730593607,0.2374429223744292,0.2602739726027397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6098055569190888,3.9566851896408077,3.0891758187347502,2.2865465115891417,4.586827737841664,0.6335384608472288,0.13520867914832504,0.3022573739409308,0.3033216604688918,12.27002155514361,1.9923114225308793,1.626304092468287e-07,13.945711794351723,0.7263157894736842,0.015272120042955953,5.066666666666666,0.10653594851221447,14.12458121298059
s20,2.1687062073052257,27.526439760099983,0.26175212462117087,45.2220081773071,4.581080397084797,2.2137944664031624,0.06324110671936758,0.0,0.5335968379446641,0.0,0.0,0.1067193675889328,0.039525691699604744,0.18181818181818182,0.0,0.0,0.0,0.0,0.07509881422924901,3.4556471804096254,6.418978110115686,4.406621656289136,3.2023327048610457,5.093734370836719,0.2866757488427311,0.06794286367661943,0.10392724847714145,0.10392724847714145,13.354980296331167,3.534191675081644,1.3856974226160753e-05,42.85265581994504,4.7407407407407405,0.018379741737916025,20.47222222222222,0.07937033004400845,13.150520325861455
s21,2.243377064176897,16.963280573943894,0.6262146604743649,36.239735771607386,1.452412636012122,2.1142553191489366,0.0,0.0,0.14893617021276595,0.3191489361702128,0.0,0.32978723404255317,0.20212765957446807,0.0,0.0,0.0,0.0,0.0,0.0,2.639504314970135,3.9317371862490766,3.1428908101695314,2.5715236624733544,4.4381147659745555,0.7110362985296717,0.18120147736801948,0.2472968374447873,0.16627358459934913,10.344868691861523,2.3717097394743125,4.0096281017493445e-08,19.485002233986002,0.6217008797653959,0.01208663693593459,3.868035190615836,0.07519940621932888,15.04806233776153
s22,2.4212108417823317,30.86599480330913,0.3006630002838638,51.44332467218193,6.039000487591528,2.1507599999999996,0.028,0.0,0.432,0.0,0.0,0.18,0.0,0.192,0.0,0.0,0.0,0.0,0.168,3.5490573126030394,5.595622088326013,4.172017122160323,3.0350475102004655,5.393160315337423,0.3284747338476227,0.08156975619514625,0.08283492066309923,0.08668770767068526,17.102464996803246,3.9871554249209176,3.003337471997909e-05,48.169304740579165,2.716666666666667,0.01584267745511232,16.322222222222223,0.09518565718429448,9.896851008472128
s23,2.3899554273026182,13.897886362273395,0.5518958188196993,23.824948049611514,2.956681388393497,2.7104166666666667,0.041666666666666664,0.0,0.0,0.31666666666666665,0.26666666666666666,0.275,0.0,0.0,0.1,0.0,0.0,0.0,0.0,2.660071353685351,3.937253355433709,3.134729816858532,2.2877256818743614,4.511442219682776,0.6467306252799954,0.13589845685948304,0.3433516157285768,0.3433516157285768,9.443066083431194,2.214027081263627,8.245300022666795e-10,17.24528354806313,0.8080808080808081,0.015989641621006294,3.676767676767677,0.07275286937557864,15.927741754371858
s24,2.730598564471427,19.301767605055343,0.46018718107851925,33.428423605856665,3.2009877089532557,2.4956066945606694,0.0,0.0,0.0,0.3472803347280335,0.0,0.25523012552301255,0.0,0.0,0.0,0.2301255230125523,0.16736401673640167,0.0,0.0,2.9067399859848484,4.953057854787254,3.483019283768824,2.5547444016534264,4.586599603767272,0.7317343897613819,0.19796841151994926,0.2194775750884235,0.2688379935822055,11.750740352200312,2.918509517221191,8.794065563433606e-06,32.789926305616056,0.8459016393442623,0.01118548238729245,3.301639344262295,0.04365806497675774,12.81057956035353
s25,2.4774819273065436,12.982801393045792,0.8707589881064157,29.84358242297539,1.4252258551913866,2.157231638418079,0.07344632768361582,0.0,0.0,0.4350282485875706,0.0,0.4124293785310734,0.07909604519774012,0.0,0.0,0.0,0.0,0.0,0.0,2.353700098454137,3.293111954615387,2.803791413569294,2.312725919587282,4.370158409274043,0.6813581942909249,0.11064834608280033,0.35645647521223245,0.35645647521223245,8.24748489846738,1.8791225445956157,1.7470908607074204e-06,6.646953176850578,0.14383561643835616,0.004569278393959011,0.4931506849315068,0.01566609735071661,14.276915057556574
s26,2.6251330933756845,32.06251242680661,0.29695383239254614,54.55080239283069,3.752486896428846,2.137061224489796,0.09387755102040816,0.0,0.3469387755102041,0.0,0.0,0.1510204081632653,0.1673469387755102,0.0,0.0,0.0,0.0,0.0,0.24081632653061225,3.1715448233507155,6.05451834371616,4.390252725696054,3.075808568633531,5.288595558905462,0.3273684195171923,0.07482874402253403,0.0664551825771137,0.0718959577588657,19.289308324285994,4.00899834953459,7.501332458276303e-07,48.630679030442636,3.4054054054054053,0.016040094033795485,17.708108108108107,0.08340848897573652,11.525462648428528
s27,2.160902801752476,21.331473482036472,0.434018549447077,37.99668713987748,4.259321115700294,2.1623684210526317,0.0,0.0,0.45614035087719296,0.10526315789473684,0.0,0.2675438596491228,0.0,0.0,0.17105263157894737,0.0,0.0,0.0,0.0,2.943185142039422,4.5849889628600335,3.640034391601717,2.429072954477604,5.2848475381260664,0.7829807134714034,0.18016772005402834,0.10056991341785501,0.13381353851942415,11.715447180272651,2.842974530359941,1.2233240799363915e-06,31.88894080658613,0.3114754098360656,0.003906590578635342,1.1311475409836065,0.014187092101359924,13.143331003170026
s28,1.790693937296201,28.9324867189732,0.24651771240108422,44.16011130790646,3.7483722573094154,2.3904137931034484,0.0,0.0,0.38620689655172413,0.0,0.0,0.1310344827586207,0.05862068965517241,0.041379310344827586,0.11379310344827587,0.2689655172413793,0.0,0.0,0.0,3.290141628137717,6.707442901455071,4.366148726997451,2.879095990397639,5.181404089335438,0.4004710787643551,0.079547426524667,0.08712926933451147,0.09070992423866946,14.566154598848975,3.6265471615660285,7.301036041952298e-09,41.277677622496135,7.059210526315789,0.03197098158152469,39.01973684210526,0.17671937722276138,10.109436011511418
s29,2.429541222985082,12.887573026810156,0.8828060552719429,29.624680853836303,1.8565157232989682,2.178587570621469,0.10734463276836158,0.0,0.0,0.4011299435028249,0.03389830508474576,0.4293785310734463,0.02824858757062147,0.0,0.0,0.0,0.0,0.0,0.0,2.4374668909415007,3.1772045936752855,2.833180032468313,2.3136776011465194,4.434526793469627,0.6286765097437637,0.11870959243429598,0.3510689120129225,0.3510689120129225,8.299645233988782,1.8725077424363863,2.788034844069086e-06,7.275031785998616,0.09210526315789473,0.0030686943551433555,0.2741228070175439,0.009133018914117129,15.268891202232082
s30,1.915531727970309,24.866915271240646,0.2841644157587383,43.01794831594187,4.443394896943107,2.2828270042194094,0.26582278481012656,0.0,0.3755274261603376,0.0,0.0,0.15611814345991562,0.0,0.0,0.0,0.1350210970464135,0.0,0.06751054852320675,0.0,3.2635654110819456,6.38550168456399,4.012517249649562,2.9263554684879787,5.462367333846924,0.2672919946845021,0.06959185480639879,0.08827376667600728,0.08923850729541723,14.29512662410143,3.286234547101008,8.69471315218184e-07,37.813667543708675,4.102702702702703,0.025757369666783277,26.34054054054054,0.1653697791649999,10.028582542820041
s31,2.3112669920942333,23.03461619467093,0.5108965902753333,48.09425359326901,1.974400782318085,1.9352105263157893,0.0,0.0,0.3263157894736842,0.09473684210526316,0.0,0.33157894736842103,0.18947368421052632,0.0,0.0,0.0,0.0,0.0,0.05789473684210526,2.756111174268261,4.238715166485513,3.4504824813560986,2.3947257099044448,5.8211817837381234,0.805665779251939,0.1376863476054741,0.05354579918977087,0.097074930913445,14.557932156412718,2.8993929767764945,2.2169859848008954e-07,31.073318778463072,0.1984126984126984,0.0028561133004434826,0.5582010582010583,0.00803519875191433,11.725253056243329
s32,2.1732210838218053,20.36387730567396,0.5075580230652603,37.1935279715202,1.9442276096405606,2.2223529411764704,0.0,0.0,0.3755656108597285,0.0,0.17194570135746606,0.334841628959276,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.0,2.6491732148286147,4.106540606277004,3.250485862551815,1.9734583534986716,5.134855696948094,0.3257277247168634,0.07124953768603666,0.11385682712554916,0.11385682712554916,11.011706467446896,2.6976722608038353,6.972344917759461e-07,27.211395413124222,0.22162162162162163,0.003644106850698005,0.6216216216216216,0.01022127531293343,14.921927957424133
