sample_id,E,T,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,ln_D
s26,0.34767667371959776,0.060321332834,3.1353062291862637,13.658071748103355,0.8644171270493188,30.1135798783484,1.698585545733467,2.1982513661202185,0.0,0.0,0.0,0.453551912568306,0.0,0.4262295081967213,0.0,0.0,0.0,0.0,0.12021857923497267,0.0,0.0,-14.652454952547817
s27,0.34767667371959776,0.077555999358,3.1353062291862637,13.658071748103355,0.8644171270493188,30.1135798783484,1.698585545733467,2.1982513661202185,0.0,0.0,0.0,0.453551912568306,0.0,0.4262295081967213,0.0,0.0,0.0,0.0,0.12021857923497267,0.0,0.0,-13.209349485747108
s28,0.34767667371959776,0.094790665882,3.1353062291862637,13.658071748103355,0.8644171270493188,30.1135798783484,1.698585545733467,2.1982513661202185,0.0,0.0,0.0,0.453551912568306,0.0,0.4262295081967213,0.0,0.0,0.0,0.0,0.12021857923497267,0.0,0.0,-12.006182412525359
s29,0.2806829385133619,0.04308666631,2.0348644263777587,23.91409270188028,0.3246586900762341,42.89353135416624,1.764432878817532,2.081504424778761,0.0,0.0,0.5530973451327433,0.004424778761061947,0.0,0.11504424778761062,0.30973451327433627,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,-14.588913920328613
s30,0.2806829385133619,0.060321332834,2.0348644263777587,23.91409270188028,0.3246586900762341,42.89353135416624,1.764432878817532,2.081504424778761,0.0,0.0,0.5530973451327433,0.004424778761061947,0.0,0.11504424778761062,0.30973451327433627,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,-13.113080308012025
s31,0.2806829385133619,0.077555999358,2.0348644263777587,23.91409270188028,0.3246586900762341,42.89353135416624,1.764432878817532,2.081504424778761,0.0,0.0,0.5530973451327433,0.004424778761061947,0.0,0.11504424778761062,0.30973451327433627,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,-11.897814928189398
s32,0.2806829385133619,0.094790665882,2.0348644263777587,23.91409270188028,0.3246586900762341,42.89353135416624,1.764432878817532,2.081504424778761,0.0,0.0,0.5530973451327433,0.004424778761061947,0.0,0.11504424778761062,0.30973451327433627,0.017699115044247787,0.0,0.0,0.0,0.0,0.0,-10.978932903637622
s33,0.3045902517658174,0.04308666631,2.4481975965981113,14.6232388446649,0.35779754372575556,24.151929962801393,1.5315364826112678,2.7164843750000003,0.0,0.0,0.0,0.60546875,0.0,0.12890625,0.0,0.21484375,0.01953125,0.0,0.03125,0.0,0.0,-16.017037557408223
s34,0.3045902517658174,0.060321332834,2.4481975965981113,14.6232388446649,0.35779754372575556,24.151929962801393,1.5315364826112678,2.7164843750000003,0.0,0.0,0.0,0.60546875,0.0,0.12890625,0.0,0.21484375,0.01953125,0.0,0.03125,0.0,0.0,-14.493304328395215
s35,0.3045902517658174,0.077555999358,2.4481975965981113,14.6232388446649,0.35779754372575556,24.151929962801393,1.5315364826112678,2.7164843750000003,0.0,0.0,0.0,0.60546875,0.0,0.12890625,0.0,0.21484375,0.01953125,0.0,0.03125,0.0,0.0,-12.95134400980532
