# c0 + a0 * (cub_root_V * WE) + a1 * (Al + O) + a2 * (face-area-avg / E_T) + a3 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.324165018397264; Max AE: 1.68842788666595
# Coefficients
# Task   a0                      a1                      a2                      a3                      c0
# all ,  3.251590097226279e-02, -2.370400166005281e+00,  6.233082330089445e+00, -5.606567474639226e-01, -1.583292839488763e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A;                                                21|7|mult; (cub_root_V * WE); $\left(cub_{root, V} WE\right)$; (cub_root_V .* WE); (newdata$cub_root_V * newdata$WE); cub_root_V,WE
# 1;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 2;  1; A^2;                                              32|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 3;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      
s38         , -2.102436377352775e+01, -2.135115119760322e+01,  4.962784291391433e+01,  3.099415204678362e-01,  1.898105042368268e-01,  1.352045780437927e+01
s39         , -2.141661104833067e+01, -2.103725766259124e+01,  6.206427185975345e+01,  8.161434977578476e-01,  1.965968280284532e-01,  1.161713035157313e+01
s40         , -1.990275935468409e+01, -1.960644370057810e+01,  5.385937242032760e+01,  1.702127659574468e-01,  2.395395098410020e-01,  1.179759001050850e+01
s41         , -1.952311408648237e+01, -1.944816173822866e+01,  5.652165702711184e+01,  2.189054726368159e-01,  2.633726660438693e-01,  1.172877329673941e+01
s42         , -1.862175379272403e+01, -1.924815254408737e+01,  6.924070531854295e+01,  6.521739130434782e-02,  2.583052471184119e-01,  1.270312834940833e+01
s43         , -2.257821044890805e+01, -2.249983266620024e+01,  6.175821118835562e+01,  7.235023041474655e-01,  1.497484032372155e-01,  1.407890359041090e+01
s44         , -1.984867902879579e+01, -1.971187713915170e+01,  5.651559120657173e+01,  0.000000000000000e+00,  2.417573704498071e-01,  1.288399317036714e+01
s45         , -1.928264199244582e+01, -1.944003056398410e+01,  6.094651001849996e+01,  3.030303030303030e-02,  2.389026644823618e-01,  1.249624222608577e+01
s46         , -2.007096062658339e+01, -2.020527680983961e+01,  6.739290192174691e+01,  1.098039215686274e-01,  2.292989352655356e-01,  1.379212732718986e+01
s47         , -1.842882744186564e+01, -1.841087265930771e+01,  7.499259712675797e+01,  0.000000000000000e+00,  2.614922931591507e-01,  1.185448877277465e+01
s48         , -1.712958329507449e+01, -1.690851258295798e+01,  7.063576804034417e+01,  0.000000000000000e+00,  4.015260422928962e-01,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.202516803000394e+01,  6.936130959665726e+01,  3.359683794466403e-01,  1.898139551602869e-01,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.006511989132856e+01,  6.787727386331414e+01,  0.000000000000000e+00,  2.302528396614023e-01,  1.404507687388660e+01
s51         , -2.208446385448407e+01, -2.237733536910757e+01,  6.040394676658693e+01,  4.070351758793970e-01,  1.433814677408801e-01,  1.504907950960228e+01
s52         , -2.030062191637932e+01, -2.013192059063392e+01,  8.493533175582320e+01,  4.397759103641457e-01,  2.586951198718043e-01,  1.361040272199163e+01
s53         , -1.881589086732163e+01, -1.886272806692939e+01,  7.077289411168358e+01,  6.188524590163935e-01,  2.754228540806260e-01,  9.954128737823392e+00
s54         , -2.389190768082197e+01, -2.403690774482843e+01,  5.560412004888601e+01,  3.333333333333333e-01,  1.091747907334227e-01,  1.766207135869826e+01
s55         , -1.989931101552115e+01, -1.981979335576123e+01,  6.641577275029645e+01,  9.016393442622951e-02,  2.438107548071180e-01,  1.329227122811093e+01
s56         , -2.293632659980805e+01, -2.330509197776360e+01,  5.217697479837105e+01,  5.108695652173912e-01,  1.273509775127575e-01,  1.560949510283250e+01
s57         , -2.165250835772914e+01, -2.141785629218663e+01,  6.768087650417159e+01,  3.983050847457627e-01,  1.552125610354366e-01,  1.392820623909980e+01
s58         , -2.493828100106786e+01, -2.468498246746517e+01,  5.880509336023670e+01,  5.333333333333333e-01,  1.130055009180943e-01,  1.820064394160582e+01
s59         , -2.019609135900962e+01, -1.985206391004631e+01,  5.638178273276321e+01,  0.000000000000000e+00,  2.259318544048532e-01,  1.295033344640037e+01
