# c0 + a0 * (face-area-avg * NBI) + a1 * (P + B) + a2 * (AAV * E_T) + a3 * (Al + O) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.293994236610423; Max AE: 1.64253612048114
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.091020500462270e+00,  2.079814199320081e+00,  5.660807286367001e-03, -1.522534404028936e+00, -8.018099779108117e-01, -1.262761384563423e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; A^2;                                              32|4|mult; (face-area-avg * NBI); $\left(face-area-avg NBI\right)$; (face_sub_area_sub_avg .* NBI); (newdata$face_sub_area_sub_avg * newdata$NBI); face-area-avg,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^3;                                              1|0|mult; (AAV * E_T); $\left(AAV E_{T}\right)$; (AAV .* E_T); (newdata$AAV * newdata$E_T); AAV,E_T
# 3;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s48         , -1.712958329507449e+01, -1.707810278377337e+01,  1.895603685301087e+00,  0.000000000000000e+00,  3.327307805013601e+02,  0.000000000000000e+00,  1.047898688927233e+01
s49         , -2.142142340445580e+01, -2.155589940179284e+01,  1.986319486485153e+00,  1.343873517786561e-01,  3.128232495972948e+02,  3.359683794466403e-01,  1.575711280873738e+01
s50         , -2.022197746600499e+01, -2.044117139432998e+01,  1.363737781589507e+00,  0.000000000000000e+00,  3.462508531357819e+02,  0.000000000000000e+00,  1.404507687388660e+01
s51         , -2.208446385448407e+01, -2.229284550313530e+01,  1.328108701574737e+00,  1.959798994974874e-01,  2.056950278779508e+02,  4.070351758793970e-01,  1.504907950960228e+01
s52         , -2.030062191637932e+01, -1.968474756018358e+01,  2.352433566079670e+00,  2.184873949579832e-01,  2.657625380692886e+02,  4.397759103641457e-01,  1.361040272199163e+01
s53         , -1.881589086732163e+01, -1.899635576897552e+01,  1.538978030575507e+00,  0.000000000000000e+00,  1.547032701351218e+02,  6.188524590163935e-01,  9.954128737823392e+00
s54         , -2.389190768082197e+01, -2.430676438517113e+01,  1.315450728713002e+00,  1.458333333333333e-01,  2.210808390684865e+02,  3.333333333333333e-01,  1.766207135869826e+01
s55         , -1.989931101552115e+01, -1.991658250138173e+01,  1.341451810990605e+00,  1.106557377049180e-01,  3.201822361789838e+02,  9.016393442622951e-02,  1.329227122811093e+01
s56         , -2.293632659980805e+01, -2.322432860892113e+01,  1.304119965200111e+00,  6.521739130434782e-02,  2.011177766990780e+02,  5.108695652173912e-01,  1.560949510283250e+01
s57         , -2.165250835772914e+01, -2.142277313492691e+01,  1.353488049179539e+00,  2.796610169491525e-01,  1.626486175968086e+02,  3.983050847457627e-01,  1.392820623909980e+01
s58         , -2.493828100106786e+01, -2.529742129731088e+01,  1.265565646516028e+00,  0.000000000000000e+00,  2.393493861120424e+02,  5.333333333333333e-01,  1.820064394160582e+01
s59         , -2.019609135900962e+01, -1.995340531419833e+01,  1.229439940643923e+00,  0.000000000000000e+00,  3.032378316139163e+02,  0.000000000000000e+00,  1.295033344640037e+01
s60         , -1.686951544328429e+01, -1.705373852318008e+01,  1.781088992541790e+00,  1.538461538461539e-01,  3.178174704088294e+02,  5.594405594405594e-02,  1.048032280800659e+01
s61         , -1.698686520707895e+01, -1.751024867630475e+01,  1.568829356648908e+00,  2.112211221122112e-01,  2.990483943176694e+02,  4.620462046204620e-02,  1.079565976127190e+01
