# c0 + a0 * (poly_dist_std + Cl) + a1 * (P + B) + a2 * (Al + O) + a3 * (face-area-avg / E_T) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.29403100705168; Max AE: 1.98952280661575
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all ,  1.754469229669634e+00,  1.885029590423336e+00, -1.989838481240479e+00,  1.016663307588179e+01, -4.998404209471921e-01, -1.591275889107712e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         28|17|add; (poly_dist_std + Cl); $\left(poly_{dist, std} + Cl\right)$; (poly_dist_std + Cl); (newdata$poly_dist_std + newdata$Cl); poly_dist_std,Cl
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; Unitless;                                         14|11|add; (Al + O); $\left(Al + O\right)$; (Al + O); (newdata$Al + newdata$O); Al,O
# 3;  1; A^2;                                              32|0|div; (face-area-avg / E_T); $\left(\frac{ face-area-avg }{ E_{T} } \right)$; (face_sub_area_sub_avg ./ E_T); (newdata$face_sub_area_sub_avg / newdata$E_T); face-area-avg,E_T
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s51         , -2.208446385448407e+01, -2.205249583065699e+01,  2.081546175282366e-01,  1.959798994974874e-01,  4.070351758793970e-01,  1.433814677408801e-01,  1.504907950960228e+01
s52         , -2.030062191637932e+01, -2.005603918490454e+01,  2.809502648065485e-01,  2.184873949579832e-01,  4.397759103641457e-01,  2.586951198718043e-01,  1.361040272199163e+01
s53         , -1.881589086732163e+01, -1.885326523041386e+01,  2.657572388650589e-01,  0.000000000000000e+00,  6.188524590163935e-01,  2.754228540806260e-01,  9.954128737823392e+00
s54         , -2.389190768082197e+01, -2.378807893100158e+01,  1.318555181903771e-01,  1.458333333333333e-01,  3.333333333333333e-01,  1.091747907334227e-01,  1.766207135869826e+01
s55         , -1.989931101552115e+01, -1.994410607326764e+01,  5.970757673084333e-02,  1.106557377049180e-01,  9.016393442622951e-02,  2.438107548071180e-01,  1.329227122811093e+01
s56         , -2.293632659980805e+01, -2.313178612184424e+01,  1.037977276798783e-01,  6.521739130434782e-02,  5.108695652173912e-01,  1.273509775127575e-01,  1.560949510283250e+01
s57         , -2.165250835772914e+01, -2.140615641202117e+01,  8.885153518759126e-02,  2.796610169491525e-01,  3.983050847457627e-01,  1.552125610354366e-01,  1.392820623909980e+01
s58         , -2.493828100106786e+01, -2.477081314056797e+01,  8.647914926633975e-02,  0.000000000000000e+00,  5.333333333333333e-01,  1.130055009180943e-01,  1.820064394160582e+01
s59         , -2.019609135900962e+01, -1.997690557190166e+01,  6.382966121561219e-02,  0.000000000000000e+00,  0.000000000000000e+00,  2.259318544048532e-01,  1.295033344640037e+01
s60         , -1.686951544328429e+01, -1.722058032265387e+01,  7.762239029444780e-02,  1.538461538461539e-01,  5.594405594405594e-02,  3.556532918114013e-01,  1.048032280800659e+01
s61         , -1.698686520707895e+01, -1.751341925993462e+01,  1.329894658161201e-01,  2.112211221122112e-01,  4.620462046204620e-02,  3.202537622018857e-01,  1.079565976127190e+01
s62         , -1.961666852236879e+01, -1.969927147789348e+01,  7.673933713357303e-02,  1.179487179487179e-01,  0.000000000000000e+00,  2.315275558107703e-01,  1.299883252854930e+01
s63         , -2.363642228074260e+01, -2.308958340261009e+01,  1.074901841323404e-01,  1.273584905660377e-01,  4.528301886792453e-01,  1.413473550364832e-01,  1.628810851264553e+01
s64         , -2.123215125329894e+01, -2.166606900688452e+01,  1.456198243202811e-01,  0.000000000000000e+00,  5.051546391752577e-01,  1.531342444038888e-01,  1.312514729915971e+01
s65         , -2.229595939650926e+01, -2.201787780758224e+01,  1.169846361043287e-01,  1.491228070175439e-01,  4.868421052631579e-01,  1.602524673750176e-01,  1.450854380874742e+01
s66         , -2.209517036440609e+01, -2.186157688577041e+01,  2.061017654090151e-01,  1.477832512315271e-02,  2.906403940886699e-01,  1.796295575203078e-01,  1.517719420649046e+01
s67         , -2.100952424313996e+01, -2.114873290925538e+01,  1.153276235884429e-01,  0.000000000000000e+00,  5.231316725978647e-01,  2.039945664601565e-01,  1.294673837424978e+01
s68         , -2.306714632630091e+01, -2.285854424086482e+01,  1.813745238466540e-01,  2.645502645502645e-02,  3.492063492063492e-01,  1.450092000194870e-01,  1.619168966157265e+01
s69         , -2.116954741071400e+01, -2.161845227343913e+01,  1.279778777810153e-01,  0.000000000000000e+00,  3.794466403162055e-01,  1.707302838126772e-01,  1.382629528419714e+01
s70         , -2.268552320802911e+01, -2.203829178417365e+01,  1.173397487425756e-01,  0.000000000000000e+00,  5.254237288135594e-01,  1.795554026282287e-01,  1.422727557521243e+01
s71         , -1.844586653395837e+01, -1.919053899043974e+01,  4.947969419360381e-02,  2.041522491349481e-01,  0.000000000000000e+00,  2.634668146139577e-01,  1.286009272831540e+01
s72         , -2.185924535832699e+01, -2.189113391468521e+01,  1.102728872623925e-01,  5.106382978723404e-02,  4.893617021276596e-01,  1.625692394641123e-01,  1.389870248804440e+01
s73         , -1.814705961150877e+01, -1.809278914543569e+01,  1.358208093391362e-01,  2.415254237288136e-01,  0.000000000000000e+00,  2.634816527305959e-01,  1.110820035458225e+01
s74         , -2.269683109870329e+01, -2.316360730044411e+01,  9.850051371958261e-02,  1.573033707865168e-01,  4.382022471910113e-01,  1.180595902964650e-01,  1.610214489007334e+01
