# c0 + a0 * (poly_dist_avg_fixed - NBI) + a1 * (P + B) + a2 * (face-area-avg * E_T) + a3 * (E_T / face-area-avg) + a4 * (O + E_T)
# Property Label: $ln_{D}$; Unit of the Property: Unitless
# RMSE: 0.294868322057634; Max AE: 1.80136853907234
# Coefficients
# Task   a0                      a1                      a2                      a3                      a4                      c0
# all , -4.164697496472354e+00,  2.501536993115274e+00,  1.747862036699488e-01,  5.819362997572881e-01, -1.330638429775397e+00, -1.353368406577642e+01, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         30|4|sub; (poly_dist_avg_fixed - NBI); $\left(poly_{dist, avg, fixed} - NBI\right)$; (poly_dist_avg_fixed - NBI); (newdata$poly_dist_avg_fixed - newdata$NBI); poly_dist_avg_fixed,NBI
# 1;  1; Unitless;                                         16|8|add; (P + B); $\left(P + B\right)$; (P + B); (newdata$P + newdata$B); P,B
# 2;  1; A^2;                                              32|0|mult; (face-area-avg * E_T); $\left(face-area-avg E_{T}\right)$; (face_sub_area_sub_avg .* E_T); (newdata$face_sub_area_sub_avg * newdata$E_T); face-area-avg,E_T
# 3;  1; A^-2;                                             0|32|div; (E_T / face-area-avg); $\left(\frac{ E_{T} }{ face-area-avg } \right)$; (E_T ./ face_sub_area_sub_avg); (newdata$E_T / newdata$face_sub_area_sub_avg); E_T,face-area-avg
# 4;  1; Unitless;                                         11|0|add; (O + E_T); $\left(O + E_{T}\right)$; (O + E_T); (newdata$O + newdata$E_T); O,E_T
# Number of Samples Per Task
# Task, n_samples               
# all , 1041                  

# Sample ID , Property Value        ,  Property Value (EST) ,  Feature 0 Value      ,  Feature 1 Value      ,  Feature 2 Value      ,  Feature 3 Value      ,  Feature 4 Value      
s65         , -2.229595939650926e+01, -2.163837251201300e+01, -3.965689864943259e-01,  1.491228070175439e-01,  3.172412610721341e+01,  6.240153530115906e+00,  1.450854380874742e+01
s66         , -2.209517036440609e+01, -2.204422327318601e+01, -3.482562156236013e-01,  1.477832512315271e-02,  3.980761362678819e+01,  5.567012544062778e+00,  1.517719420649046e+01
s67         , -2.100952424313996e+01, -2.124499626291074e+01, -2.785644091607844e-01,  0.000000000000000e+00,  3.148574606421581e+01,  4.902091351513114e+00,  1.294673837424978e+01
s68         , -2.306714632630091e+01, -2.321494123446342e+01, -3.417777501800893e-01,  2.645502645502645e-02,  3.639502929812161e+01,  6.896114176656485e+00,  1.619168966157265e+01
s69         , -2.116954741071400e+01, -2.164833832486838e+01, -3.550791102276249e-01,  0.000000000000000e+00,  3.087106380418121e+01,  5.857191692466146e+00,  1.382629528419714e+01
s70         , -2.268552320802911e+01, -2.211317872808819e+01, -2.926649614492864e-01,  0.000000000000000e+00,  3.370986488235359e+01,  5.569311674071487e+00,  1.422727557521243e+01
s71         , -1.844586653395837e+01, -1.896588216442316e+01, -3.228506641779341e-01,  2.041522491349481e-01,  4.357266477744335e+01,  3.795544427351281e+00,  1.286009272831540e+01
s72         , -2.185924535832699e+01, -2.182547408677505e+01, -3.155380671642163e-01,  5.106382978723404e-02,  2.964122822317087e+01,  6.151225184397527e+00,  1.389870248804440e+01
s73         , -1.814705961150877e+01, -1.801731177731211e+01, -4.326780566691242e-01,  2.415254237288136e-01,  3.251155842509370e+01,  3.795330679144015e+00,  1.110820035458225e+01
s74         , -2.269683109870329e+01, -2.336176681107290e+01, -2.911002532227722e-01,  1.573033707865168e-01,  2.896699471755880e+01,  8.470298749037273e+00,  1.610214489007334e+01
s75         , -2.162544692540680e+01, -2.144796847232271e+01, -3.178394370066971e-01,  0.000000000000000e+00,  3.268627935628794e+01,  5.416515616567328e+00,  1.360487330389796e+01
s76         , -1.799713371423827e+01, -1.822984294972787e+01, -3.950623285096157e-01,  1.964285714285714e-01,  3.942701707420989e+01,  3.579195228730993e+00,  1.187926729201374e+01
