sample_id,E_T,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,ln_D
s392,3.509937513164824,2.6402601589905768,25.743871100383817,0.5342260516453995,54.95882594463968,10.09379949298031,1.8322105263157897,0.03684210526315789,0.0,0.35789473684210527,0.0,0.0,0.42105263157894735,0.0,0.0,0.0,0.0,0.07368421052631578,0.0,0.11052631578947368,-10.436295958808287
s393,3.1365108548635887,1.8961602882614765,19.49548384882386,0.27207939878695586,32.84855497815525,1.7471942878937652,2.5073170731707317,0.2926829268292683,0.0,0.3983739837398374,0.0,0.1951219512195122,0.11382113821138211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.994804254973575
s394,2.7662792301605603,1.8141162249619947,27.73645898370478,0.25322309859740416,41.397699975678805,3.5997697238985675,2.4941666666666666,0.0,0.0,0.36666666666666664,0.0,0.07333333333333333,0.15333333333333332,0.0,0.0,0.17666666666666667,0.23,0.0,0.0,0.0,-9.461252057141
s395,2.45032093967427,2.2643084594510583,31.360756957703046,0.2261751930868064,45.87962591960262,5.901309970598357,2.4525949367088606,0.0,0.0,0.3639240506329114,0.0,0.0,0.10759493670886076,0.0,0.0189873417721519,0.10443037974683544,0.1550632911392405,0.08544303797468354,0.16455696202531644,0.0,-9.166129420607675
s396,3.031162121305462,2.10380128792988,27.41341783133145,0.30228420890814084,45.161848606744805,2.6453709168563835,2.276303501945525,0.0,0.0,0.35797665369649806,0.0,0.0,0.1556420233463035,0.14007782101167315,0.0,0.0,0.2490272373540856,0.09727626459143969,0.0,0.0,-9.737031623802128
s397,4.211969126455307,2.04768056449298,20.285345943788844,0.41633641542526734,33.7644244985433,4.841535255267108,2.533162055335968,0.0,0.0,0.0,0.3359683794466403,0.0,0.2648221343873518,0.0,0.0,0.13438735177865613,0.2648221343873518,0.0,0.0,0.0,-10.274640515647668
s398,2.917960167193726,2.085994472730302,24.024402268418843,0.2645606837015739,41.689403936373864,5.364848913788392,2.264576271186441,0.3050847457627119,0.0,0.4576271186440678,0.0,0.0,0.11864406779661017,0.0,0.0,0.0,0.0,0.0,0.11864406779661017,0.0,-9.82469476316618
s399,4.188173452526339,2.3466110556333835,23.55689485813622,0.41992478982007103,43.83630869253179,4.429423713918452,2.0260280373831776,0.0,0.0,0.5373831775700935,0.0,0.0,0.2523364485981308,0.018691588785046728,0.09345794392523364,0.0,0.0,0.09813084112149532,0.0,0.0,-10.473529872935227
s400,3.6060596217524554,2.455694733602728,18.356747492997396,0.3103868634663826,28.984338146838027,2.998252773363403,2.7291111111111106,0.04814814814814815,0.0,0.0,0.5111111111111111,0.0,0.14814814814814814,0.0,0.0,0.17037037037037037,0.0,0.0,0.12222222222222222,0.0,-10.725084376048668
s401,3.8334056975718163,2.214943200520974,18.714310266245594,0.4349660869190055,33.449987641242124,2.333147523082461,2.3105726872246697,0.0,0.0,0.28193832599118945,0.2775330396475771,0.0,0.22026431718061673,0.1013215859030837,0.0,0.11894273127753303,0.0,0.0,0.0,0.0,-10.924404114244933
s402,3.0939950488278933,1.9153705603138191,25.608355777840117,0.4255379850172406,46.56064686880024,3.6170489063763136,2.1165000000000007,0.0,0.0,0.2818181818181818,0.0,0.0,0.32272727272727275,0.0,0.12727272727272726,0.0,0.2681818181818182,0.0,0.0,0.0,-10.058401300026839
s403,3.544027449209986,1.9197251864122973,17.21605435800651,0.3954119104678911,33.01059964058132,2.3965294168724602,2.338421052631579,0.2822966507177033,0.0,0.24880382775119617,0.2727272727272727,0.0,0.19617224880382775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.550860617913536
s404,2.6478188917026015,3.2841749742855506,28.30323750417302,0.33813488778767725,46.216678962510365,2.8671569592918758,2.475271317829457,0.0,0.0,0.0,0.3449612403100775,0.0,0.19767441860465115,0.0,0.0,0.0,0.0,0.18992248062015504,0.03875968992248062,0.22868217054263565,-9.930424163831548
s405,4.144687919757204,2.099249392261465,22.4318830499442,0.4731997601774601,44.64166824790874,6.294366380575701,1.9675124378109454,0.0945273631840796,0.0,0.472636815920398,0.0,0.0,0.31840796019900497,0.0,0.04975124378109453,0.03482587064676617,0.0,0.0,0.029850746268656716,0.0,-10.504138352603086
s406,3.7884645018909233,2.018602321467565,20.04800037386523,0.3992295026004897,38.109261971942054,3.099290629857199,2.184407582938389,0.1895734597156398,0.0,0.3981042654028436,0.12796208530805686,0.0,0.21800947867298578,0.0,0.052132701421800945,0.0,0.0,0.014218009478672985,0.0,0.0,-10.485266563694736
s407,3.5962655129203616,2.086814833035735,21.479619556643932,0.5953920539131958,47.05059521931521,1.7951896233172484,1.8632608695652173,0.0,0.0,0.40217391304347827,0.0,0.05434782608695652,0.41847826086956524,0.059782608695652176,0.06521739130434782,0.0,0.0,0.0,0.0,0.0,-10.958617628065959
s408,3.817466251282102,1.8930889636219668,23.906306499780246,0.1994924664647715,35.39972308621309,3.4808570879055605,2.5768831168831166,0.0,0.0,0.4318181818181818,0.2435064935064935,0.0,0.06818181818181818,0.0,0.0,0.2564935064935065,0.0,0.0,0.0,0.0,-10.509792071270407
s409,3.2456346075502394,1.99159157930159,23.92999212481566,0.48635195053415725,47.620684328383156,2.812507585355121,1.962211055276382,0.0,0.0,0.36180904522613067,0.0,0.0,0.34673366834170855,0.08542713567839195,0.06532663316582915,0.0,0.1407035175879397,0.0,0.0,0.0,-10.481672114381125
s410,3.0345555970633042,2.264586741614198,29.767961536033965,0.24853902361970512,47.809150345751476,5.7697194669363325,2.2409056603773587,0.07169811320754717,0.0,0.4981132075471698,0.0,0.0,0.10566037735849057,0.0,0.2,0.0,0.0,0.0,0.0,0.12452830188679245,-9.83974469239468
s411,3.4245691995533125,3.0448019802927346,30.622600038563668,0.25952756186076914,44.40277005591731,3.520176681704548,2.637335423197492,0.0,0.0,0.0,0.3605015673981191,0.0,0.12539184952978055,0.0,0.0,0.18495297805642633,0.0,0.0,0.0,0.329153605015674,-10.105854425104308
