sample_id,E_T,rho,AAV,PF,VPA,RBI,WE,B,N,S,O,F,Na,Al,Si,P,Cl,Ge,Br,I,ln_D
s235,3.79267335061256,1.8802351991163635,23.943567483457198,0.34562020734139953,42.69008155965231,4.1247070657313,2.183478260869565,0.15217391304347827,0.0,0.41739130434782606,0.0,0.0,0.20869565217391303,0.0,0.0782608695652174,0.0,0.14347826086956522,0.0,0.0,0.0,-10.78827387454434
s236,4.233330962044168,2.011715380872423,25.012621200720666,0.2754163791964009,40.357787581530864,4.289974320558979,2.2284410646387833,0.0,0.0,0.6197718631178707,0.0,0.0,0.11406844106463879,0.08745247148288973,0.030418250950570342,0.1482889733840304,0.0,0.0,0.0,0.0,-10.534534623091947
s237,3.9943765925172636,2.6966357487968637,26.29345643990503,0.3950337783930521,45.91543885774461,6.798763464701085,2.1276923076923078,0.0,0.0,0.39316239316239315,0.0,0.0,0.26495726495726496,0.0,0.0,0.05128205128205128,0.0,0.1111111111111111,0.1794871794871795,0.0,-10.58945837250706
s238,4.155797622787503,2.297601259684285,23.281395603902403,0.47245589182561487,47.03792173033337,4.9853523531585395,2.0153030303030306,0.16666666666666666,0.0,0.31313131313131315,0.030303030303030304,0.0,0.3383838383838384,0.0,0.0,0.0,0.0,0.0,0.15151515151515152,0.0,-10.936103925741497
s239,4.064159189546518,2.6380238822336564,22.78289857286452,0.254101327094072,33.73621519443398,1.6023425753831506,2.7614285714285716,0.0,0.0,0.3409090909090909,0.0,0.3344155844155844,0.09415584415584416,0.0,0.0,0.0,0.0,0.2305194805194805,0.0,0.0,-10.69097270044846
s240,3.7461226223819333,2.46106606310394,33.84359320582344,0.24218738768995607,53.669130054205276,3.193717135993495,2.2139179104477615,0.0,0.0,0.417910447761194,0.0,0.0,0.07462686567164178,0.20522388059701493,0.08955223880597014,0.0,0.0,0.0,0.0,0.2126865671641791,-10.362757383636707
s241,3.8303370425558545,2.421387226244087,28.579221687167163,0.2991501943194961,46.78254760256024,4.8092715160872626,2.2259143968871595,0.0,0.0,0.43190661478599224,0.0,0.0,0.17120622568093385,0.0,0.14007782101167315,0.0,0.0,0.07782101167315175,0.17898832684824903,0.0,-10.372570613532844
s242,3.7693760515739605,1.958141784680257,22.726691360897178,0.36398014593386013,38.73140358688111,1.5978890115910735,2.3486776859504133,0.0,0.0,0.39669421487603307,0.0,0.19008264462809918,0.2231404958677686,0.0,0.19008264462809918,0.0,0.0,0.0,0.0,0.0,-10.741285480467596
s243,3.8580982775619663,2.0615052044886064,29.52174120210038,0.2225677454118915,45.65384021964154,3.9861484466771313,2.308480565371025,0.0,0.0,0.5123674911660777,0.0,0.0,0.08480565371024736,0.0,0.26855123674911663,0.0,0.0,0.0,0.13427561837455831,0.0,-10.730438698376
s244,3.1903025428062852,2.4771672147570416,31.61838068881205,0.33826288382140257,54.697490680645664,6.232620661867293,2.0749789029535863,0.0,0.0,0.3881856540084388,0.0,0.0,0.24050632911392406,0.0,0.18143459915611815,0.0,0.0,0.0,0.0,0.189873417721519,-10.375626552310818
s245,3.2445985563629116,2.420346663197872,30.782768723096492,0.35887766203070876,54.1030480587756,3.5499718981315977,2.090818965517242,0.0,0.0,0.28879310344827586,0.0,0.0,0.2543103448275862,0.10344827586206896,0.07327586206896551,0.0,0.11637931034482758,0.0,0.0,0.16379310344827586,-10.460663240044214
