sample_id,E/T,D
s91,6.408188336154115,2.533017551503586e-06
s92,8.648605247617484,1.3632245647112842e-07
s93,6.379429753159395,7.665794851003494e-07
s94,8.16873537744894,6.973645882787932e-07
s95,5.762343966074309,2.497355672312558e-06
s96,8.83225100907908,1.6134167394294905e-07
s97,9.864920736579611,6.893728464808092e-08
s98,8.36771699660819,3.95021427620735e-07
s99,9.525029255992946,9.408913983637152e-08
s100,8.304615691286356,1.2687614904643677e-07
s101,8.213920025343791,1.0531894269202183e-07
s102,7.3427802944538945,4.986709664251514e-07
s103,7.62066365597366,2.99567548093395e-07
s104,7.5884127634499805,1.7293180736501788e-07
s105,7.761686981590299,5.863677816955183e-07
s106,5.7658892999170455,5.355292262892895e-06
s107,9.163218304965826,6.23479940312478e-08
s108,9.145415223907584,4.129597355845164e-08
s109,8.907344867310053,1.5735718361601474e-07
s110,7.187712979897188,6.073314276590372e-07
s111,7.672978409935292,7.173360520047822e-08
s112,6.603286769071715,1.534014211294009e-06
s113,8.208139417897124,5.937788309900155e-07
s114,9.49068504573804,1.0187116048996941e-07
s115,7.46439061657171,1.913241881350218e-07
s116,7.928727650609704,7.708898525337747e-08
s117,9.124632999567014,5.326028821100518e-08
s118,8.021885171121083,2.4149202741803397e-07
s119,8.968830926922529,2.3695085768174738e-07
s120,7.277771579613969,3.379208456073077e-07
s121,9.490619311909677,3.7486468364247354e-08
s122,8.362283466244515,6.701570161282395e-08
s123,7.947663967689638,1.317712512772623e-07
s124,7.500155537108027,5.893719523796308e-07
s125,7.676721295760406,4.279372825026545e-08
s126,7.024408552307285,8.674277963732988e-08
s127,6.79957313540777,5.320496266641892e-07
s128,7.697800396812369,1.8413862916001594e-07
s129,7.533342927184101,5.716475591393551e-07
s130,6.124502077904181,2.3906266376768983e-06
s131,6.337033222495729,1.1368068217634765e-06
s132,8.333642239874484,7.945741327662025e-08
s133,8.579601425612095,2.3450866089161818e-07
s134,6.9515156101541775,1.2541254944853663e-06
s135,6.698438838755101,3.67003106554188e-06
s136,8.281968440787288,1.821837458965864e-07
s137,5.665057747716694,3.669310885481557e-06
s138,8.1125951006905,2.629799279020977e-07
s139,8.715718019493625,3.507067262307955e-08
s140,8.53370788928809,2.5744552653016363e-07
s141,7.727405448227938,2.625748134648568e-07
